path,country,id,year_enacted,year_updated,title,region,word_length
global_risk_data\constitutions_text\Niger_2017.html,Republic of the Niger,Niger_2017,2010,2017.0,Niger 2010 (rev. 2017),Africa,14624.0
global_risk_data\constitutions_text\Nigeria_2011.html,Federal Republic of Nigeria,Nigeria_2011,1999,2011.0,Nigeria 1999 (rev. 2011),Africa,66806.0
global_risk_data\constitutions_text\Norway_2016.html,Kingdom of Norway,Norway_2016,1814,2016.0,Norway 1814 (rev. 2016),Europe,7388.0
global_risk_data\constitutions_text\Oman_2011.html,Sultanate of Oman,Oman_2011,1996,2011.0,Oman 1996 (rev. 2011),Asia,7561.0
global_risk_data\constitutions_text\Pakistan_2018.html,Islamic Republic of Pakistan,Pakistan_2018,1973,2018.0,"Pakistan 1973 (reinst. 2002, rev. 2018)",Asia,57805.0
global_risk_data\constitutions_text\Palau_1992.html,Republic of Palau,Palau_1992,1981,1992.0,Palau 1981 (rev. 1992),Oceania,7935.0
global_risk_data\constitutions_text\Palestine_2005.html,Palestine,Palestine_2005,2003,2005.0,Palestine 2003 (rev. 2005),Asia,8507.0
global_risk_data\constitutions_text\Panama_2004.html,Republic of Panama,Panama_2004,1972,2004.0,Panama 1972 (rev. 2004),Americas,25789.0
global_risk_data\constitutions_text\Papua_New_Guinea_2016.html,Papua New Guinea,Papua_New_Guinea_2016,1975,2016.0,Papua New Guinea 1975 (rev. 2016),Oceania,73061.0
global_risk_data\constitutions_text\Paraguay_2011.html,Republic of Paraguay,Paraguay_2011,1992,2011.0,Paraguay 1992 (rev. 2011),Americas,27696.0
global_risk_data\constitutions_text\Peoples_Republic_of_Korea_2016.html,Democratic People's Republic of Korea,Peoples_Republic_of_Korea_2016,1972,2016.0,Korea (Democratic People's Republic of) 1972 (rev. 2016),Asia,8939.0
global_risk_data\constitutions_text\Peru_2021.html,Republic of Peru,Peru_2021,1993,2021.0,Peru 1993 (rev. 2021),Americas,
global_risk_data\constitutions_text\Philippines_1987.html,Republic of the Philippines,Philippines_1987,1987,,Philippines 1987,Asia,21645.0
global_risk_data\constitutions_text\Poland_2009.html,Republic of Poland,Poland_2009,1997,2009.0,Poland 1997 (rev. 2009),Europe,20220.0
global_risk_data\constitutions_text\Portugal_2005.html,Portuguese Republic,Portugal_2005,1976,2005.0,Portugal 1976 (rev. 2005),Europe,36167.0
global_risk_data\constitutions_text\Qatar_2003.html,State of Qatar,Qatar_2003,2003,,Qatar 2003,Asia,6848.0
global_risk_data\constitutions_text\Republic_of_Korea_1987.html,Republic of Korea,Republic_of_Korea_1987,1948,1987.0,Korea (Republic of) 1948 (rev. 1987),Asia,9065.0
global_risk_data\constitutions_text\Romania_2003.html,Romania,Romania_2003,1991,2003.0,Romania 1991 (rev. 2003),Europe,14655.0
global_risk_data\constitutions_text\Russia_2014.html,Russian Federation,Russia_2014,1993,2014.0,Russian Federation 1993 (rev. 2014),Europe,13830.0
global_risk_data\constitutions_text\Rwanda_2015.html,Republic of Rwanda,Rwanda_2015,2003,2015.0,Rwanda 2003 (rev. 2015),Africa,14410.0
global_risk_data\constitutions_text\Samoa_2017.html,Independent State of Samoa,Samoa_2017,1962,2017.0,Samoa 1962 (rev. 2017),Oceania,19057.0
global_risk_data\constitutions_text\Sao_Tome_and_Principe_2003.html,Democratic Republic of Sao Tome and Principe,Sao_Tome_and_Principe_2003,1975,2003.0,Sao Tome and Principe 1975 (rev. 2003),Africa,13114.0
global_risk_data\constitutions_text\Saudi_Arabia_2013.html,Kingdom of Saudi Arabia,Saudi_Arabia_2013,1992,2013.0,Saudi Arabia 1992 (rev. 2013),Asia,6772.0
global_risk_data\constitutions_text\Senegal_2016.html,Republic of Senegal,Senegal_2016,2001,2016.0,Senegal 2001 (rev. 2016),Africa,9982.0
global_risk_data\constitutions_text\Serbia_2006.html,Republic of Serbia,Serbia_2006,2006,,Serbia 2006,Europe,19881.0
global_risk_data\constitutions_text\Seychelles_2017.html,Republic of Seychelles,Seychelles_2017,1993,2017.0,Seychelles 1993 (rev. 2017),Africa,38859.0
